1	Common	1	Guild Monster	ドスギアノス※	※Giadrome	600	1★	-	-	-	-	-	-	-	ギアノスシリーズ x1	-	-	ナブランジャ	-	Giaprey Armor x1	-	-	
1	Common	2	Guild Monster	ドスファンゴ※	※Bulldrome	1000	2★	-	-	-	-	-	-	-	ボーンシリーズ x2	-	<オート / キャンプ>:このカードが参加した狩りの終了時、この カードを横向きにする。	Toronn	-	Bone Armor x2	-	<Auto/Camp>: At the end of a hunt in which this card participated, turn this card horizontal.	
1	Common	3	Guild Monster	イャンクック※	※Yian Kut-Ku	1400	3★	-	-	-	-	-	-	-	クックSシリーズ x1	-	-	山崎 太郎	-	Kut-Ku S Armor x1	-	-	
1	Uncommon	4	Guild Monster	ダイミョウザザミ※	※Daimyo Hermitaur	1200	3★	-	-	-	-	-	-	-	ザザミSシリーズ x1	-	<オート / 狩場>: 相手の準備ゾーンにある裏向きのカード1枚につき、このカードのパワー+200。	米川　東	-	Hermitaur S Armor x1	-	<Auto/Hunting Ground>: This card gets +200 Power for each face down card in your opponent's Preparation Zone.	
1	Uncommon	5	Guild Monster	ドドブランゴ※	※Blangonga	1200	3★	-	-	-	-	-	-	-	ブランゴSシリーズ x1	-	<オート / 狩場>: あなたの準備ゾーンに表向きのカードが2枚以上ある場合、このカードのパワー+400。	山崎 太郎	-	Blango S Armor x1	-	<Auto/Hunting Ground>: If you have 2 or more face up cards in your Preparation Zone, this card gets +400 Power.	
1	Rare	6	Guild Monster	ディアブロス※	※Diablos	1200	4★	-	-	-	-	-	-	-	ディアブロSシリーズ x1	-	<オート/キャンプ>:このカードが手札か準備ゾーンからキャンプに出た時、準備ゾーンにある★6以下のターゲットモンスターを 1枚選んで、捨てる。	山宗	-	Diablos S Armor x1	-	<Auto/Camp>: When this card is sent to the Camp from your hand or Preparation Zone, choose 1 6★ or below Target Monster in your Preparation Zone and discard it.	
1	Rare	7	Guild Monster	ナルガクルガ※	※Nargacuga	1300	4★	-	-	-	-	-	-	-	ナルガSシリーズ x1	-	<アクティヴ/狩場>[手札②]:このカードを1つ後ろに移動する。	緑川 美帆	-	Narga S Armor x1	-	<Active/Hunting Ground> [Hand ②]: Move this card one space back.	
1	Common	8	Guild Monster	ババコンガ亜種※	※Emerald Congalala	2100	5★	-	-	-	-	-	-	-	コンガZシリーズ x1	-	-	彩菜祇 根雨	-	Conga Z Armor x1	-	-	
1	Ultra Rare	9	Guild Monster	リオレウス希少種※	※Silver Rathalos	3000	6★	-	-	-	-	-	-	-	S・ソルZシリーズ x2	-	<オート / キャンプ>:このカードが手札か準備ゾーンからキャンプに出た時、相手の準備ゾーンにあるすべてのカードを捨てる。	成庵	-	Silver Sol Z Armor x2	-	<Auto/Camp>: When this card is put into the Camp from your hand or Preparation Zone, discard all cards in your opponent's Preparation Zone.	
1	Uncommon	10	Target Monster	ババコンガ	Congalala	100	1★	-	-	-	0	Claw (Green)	-	-	-	-	-	山宗	-	-	-	-	
1	Uncommon	11	Target Monster	ガノトトス	Plesioth	400	3★	-	-	-	1	Scale (Yellow)	-	-	-	-	<オープン>:相手の準備ゾーンに裏向きのカードが4枚以上ある 場合、相手の準備ゾーンにあるカードを2枚まで選んで、表向きに する。	ナブランジャ	-	-	-	<Open>: If your opponent has four or more face down cards in their Preparation Zone, choose up to two cards in their Preparation Zone and flip them face up.	
1	Common	12	Target Monster	ゲリョス	Gypceros	400	3★	-	-	-	1	Scale (Yellow)	-	-	-	-	<オープン>:狩場にあるハンターの中で2番目のハンターが★3 以上の場合、狩りの終了時まで、そのハンターのパワー-700。	Hirokorin	-	-	-	<Open>: If the second Hunter in the Hunting Ground is 3★ or above, that Hunter's Power is reduced by 700 until the end of the hunt.	
1	Common	13	Target Monster	ショウグンギザミ	Shogun Ceanataur	400	3★	-	-	-	1	Crab (Yellow)	-	-	-	-	<オープン>: 狩場にあるハンターを1枚選んで、1つ後ろに移動 する。	NAKAGAWA	-	-	-	<Open>: Choose one Hunter in the Hunting Ground and move it one space back.	
1	Rare	14	Target Monster	フルフル	Khezu	400	3★	-	-	-	1	Shell (Yellow)	-	-	-	-	<オープン>: 狩場にあるハンターの中で先頭のハンターが★3 以上の場合、狩りの終了時まで、そのハンターのパワー-700。	米谷 尚展	-	-	-	<Open>: If the lead Hunter in the Hunting Ground is 3★ or above, that Hunter's Power will be reduced by 700 until the end of the hunt.	
1	Common	15	Target Monster	モノブロス	Monoblos	400	3★	-	-	-	1	Shell (Yellow)	-	-	-	-	<オープン>: 相手の準備ゾーンにあるカードを1枚選んで、裏向き にする。	NAKAGAWA	-	-	-	<Open>: Choose a card in your opponent's Preparation Zone and flip it face down.	
1	Ultra Rare	16	Target Monster	ナナ・テスカトリ	Lunastra	500	4★	-	-	-	1	Shell (Yellow)	-	-	-	-	<オープン>: 狩りの終了時まで、狩場にあるギルドモンスターの パワー-700。	Toronn	-	-	-	<Open>: Guild Monsters in the Hunting Ground have -700 Power until the end of the hunt.	
1	Ultra Rare	17	Target Monster	ラージャン	Rajang	600	4★	-	-	-	2	Hide (Yellow)	-	-	-	-	<オート/狩場>:このカードが討伐された時、このカードを討伐 したカードを横向きにする。	伊藤 サトシ	-	-	-	<Auto/Hunting Ground>: When this card is slain, turn the card that slew it horizontal.	
1	Common	18	Target Monster	キングチャチャブー	King Shakalaka	1100	5★	-	-	-	1	Sac (Red)	-	-	-	-	<オート / ・狩場>:このカードが討伐された時、あなたの手札を 1枚選んで、捨てる。	山崎 太郎	-	-	-	<Auto/Hunting Ground>: When this card is slain, choose 1 card from your hand and discard it.	
1	Uncommon	19	Target Monster	クイーンランゴスタ	Vespoid Queen	1900	5★	-	-	-	0	Bug (Red)	-	-	-	-	<オープン>: 狩場にあるハンターを1枚選んで、狩りの終了時まで、 パワー-300。	山崎 太郎	-	-	-	<Open>: Choose one Hunter in the Hunting Ground and give it -300 Power until the end of the hunt.	
1	Uncommon	20	Target Monster	ティガレックス	Tigrex	1800	6★	-	-	-	2	Mantle (Red)	-	-	-	-	<オート / 狩場>:このカードが討伐された時、このカードを討伐 したカードを横向きにする。	二見 敬之	-	-	-	<Auto/Hunting Ground>: When this card is slain, turn the card that slew it horizontal.	
